0x;0y;1x;1y;2x;2y;3x;3y;4x;4y;5x;5y;6x;6y;7x;7y;8x;8y;9x;9y;10x;10y;11x;11y;12x;12y;13x;13y;14x;14y;15x;15y;16x;16y;17x;17y;18x;18y;19x;19y;20x;20y;char
449.894;638.530;329.537;588.029;262.366;475.709;253.967;343.421;247.663;236.477;359.708;371.450;364.767;244.302;358.949;332.212;359.531;392.781;436.194;386.681;443.413;254.785;422.449;389.207;424.906;456.209;510.186;403.627;522.407;285.094;490.956;417.518;494.131;475.346;591.398;426.475;592.339;341.419;548.671;413.658;541.039;454.239;
459.426;638.641;347.614;599.550;273.522;486.969;262.374;354.810;248.102;248.011;360.925;374.588;373.911;243.114;369.098;328.899;364.611;393.163;437.945;389.061;448.776;248.740;427.998;383.067;424.256;456.097;509.395;404.862;526.426;276.091;496.461;407.832;492.551;471.021;587.605;425.540;598.047;337.165;559.660;410.858;548.164;455.238;A
444.194;659.268;326.598;616.910;253.226;497.914;243.082;361.876;239.491;259.676;343.380;363.937;354.870;244.351;358.127;343.693;360.158;413.798;418.447;374.496;427.227;265.603;412.909;399.414;413.379;462.574;487.232;390.883;503.429;294.534;477.267;425.357;476.143;476.613;560.803;418.030;567.584;346.090;533.656;416.844;524.283;450.811;A
443.780;650.429;324.970;607.825;252.818;487.201;244.345;356.561;243.655;256.638;354.901;367.226;360.576;246.427;360.391;346.481;365.212;413.227;425.959;380.323;434.270;265.427;415.955;403.168;416.489;460.397;493.925;395.117;512.095;291.894;481.303;424.206;478.711;473.187;573.173;418.568;580.205;339.026;541.187;411.295;528.062;445.777;A
452.860;638.769;340.436;595.407;272.323;487.497;254.365;357.569;231.482;241.993;345.978;381.637;359.122;239.129;353.375;323.262;345.418;384.235;424.534;395.104;437.792;249.516;418.391;374.156;413.062;437.416;499.487;409.557;510.173;280.568;485.889;408.379;484.368;463.566;577.341;425.073;581.486;337.553;551.375;410.228;546.574;449.936;A
457.552;653.649;335.113;624.058;264.734;510.101;253.082;378.250;236.840;269.307;363.884;381.668;368.143;253.612;366.595;342.386;364.061;404.599;433.425;392.995;436.512;269.523;420.890;394.754;425.847;454.859;500.886;410.315;510.245;292.087;483.699;418.551;485.678;474.730;579.387;435.620;580.810;350.078;548.222;420.887;539.430;455.738;A
462.458;660.747;339.092;614.991;271.185;496.173;261.827;367.521;252.927;267.483;373.523;373.979;378.789;251.076;377.813;349.148;380.241;413.050;445.379;387.018;449.271;268.420;431.694;401.138;436.131;458.086;513.702;404.832;526.824;297.042;497.204;427.009;499.158;477.586;592.923;430.766;592.449;349.965;554.477;423.234;547.413;458.670;A
449.315;663.478;329.105;616.886;260.541;504.778;253.343;375.777;247.135;269.342;357.472;379.315;356.849;254.406;352.382;339.943;352.461;399.703;431.965;389.046;436.495;265.584;412.584;397.792;410.130;462.072;501.754;407.974;514.916;290.957;481.237;417.748;479.915;474.329;581.872;440.137;581.191;355.148;538.815;419.768;528.003;454.319;A
475.238;666.986;347.674;602.478;278.571;504.441;262.024;377.302;260.568;261.940;379.883;385.435;366.292;255.452;355.704;336.697;351.431;391.733;460.252;393.938;458.469;251.919;429.909;393.643;419.361;468.280;535.470;410.611;540.429;286.473;507.881;429.190;504.606;491.668;610.686;434.243;612.809;344.391;569.995;418.723;560.745;459.572;A
452.767;663.737;330.521;618.593;266.186;506.519;259.138;377.652;250.634;268.597;374.184;388.651;372.726;251.491;367.307;349.799;361.246;411.335;443.503;401.810;446.509;270.085;428.690;402.166;429.635;458.614;513.876;422.250;525.652;301.983;494.824;435.774;491.880;486.710;589.397;451.575;595.266;362.386;559.542;438.388;550.038;473.738;A
449.794;555.996;325.156;509.232;251.826;413.215;227.998;283.109;214.394;182.695;320.537;301.659;315.694;175.125;318.543;240.643;323.319;287.293;391.465;304.239;385.595;171.155;375.510;290.697;380.415;356.362;461.463;307.684;463.456;186.179;441.564;997.123;997.123;997.123;997.123;997.123;997.123;997.123;997.123;997.123;997.123;997.123;A
459.782;544.080;336.403;496.125;267.310;402.586;240.177;275.550;217.767;163.115;323.719;305.733;319.570;174.929;326.862;241.054;331.315;287.427;401.882;314.204;392.735;166.580;383.387;277.290;384.618;339.927;473.062;315.316;471.822;183.589;455.278;299.303;455.857;353.197;548.449;313.203;545.514;218.791;515.518;283.356;508.417;323.701;A
447.509;551.205;322.247;501.447;258.459;404.030;229.721;277.594;215.331;166.567;309.580;297.339;310.723;172.830;321.018;247.824;325.154;297.612;387.502;306.420;381.762;167.423;371.416;287.725;371.387;351.509;458.682;309.221;456.663;191.054;441.369;313.337;443.875;359.181;531.826;309.134;525.085;228.453;497.012;301.837;491.763;335.554;A
