Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Predicted_Score
7,99,Yes,9,1,91.0,92.9
4,82,No,4,2,65.0,66.19999999999999
8,51,Yes,7,2,45.0,67.6
5,52,Yes,5,2,36.0,53.2
7,75,No,8,5,66.0,72.5
3,78,No,9,6,61.0,52.8
7,73,Yes,5,6,63.0,69.8
8,45,Yes,4,6,42.0,58.0
5,77,No,8,2,61.0,68.19999999999999
4,89,No,4,0,69.0,73.4
8,91,No,4,5,84.0,87.1
8,79,No,6,2,73.0,84.4
3,47,No,9,2,27.0,40.2
6,47,No,4,2,33.0,55.2
5,79,No,7,8,68.0,60.400000000000006
2,72,No,4,3,43.0,48.699999999999996
8,73,Yes,8,4,67.0,77.8
6,83,Yes,7,2,70.0,76.8
2,54,Yes,4,9,30.0,28.9
5,75,No,7,0,63.0,70.0
1,99,Yes,4,3,71.0,59.900000000000006
6,96,No,9,0,85.0,87.6
9,74,Yes,7,6,73.0,80.4
1,85,No,5,6,57.0,47.0
3,61,No,6,3,35.0,47.1
7,62,Yes,7,4,49.0,66.19999999999999
4,79,No,8,9,66.0,53.900000000000006
9,84,Yes,6,6,83.0,86.4
3,94,Yes,6,5,74.0,63.900000000000006
5,90,Yes,4,3,74.0,74.5
3,61,Yes,7,3,39.0,47.1
7,44,Yes,9,1,36.0,59.9
5,70,Yes,6,9,58.0,53.5
9,52,Yes,8,1,47.0,74.7
7,67,Yes,9,3,60.0,70.69999999999999
2,97,Yes,9,4,74.0,62.19999999999999
4,59,No,8,3,42.0,50.9
9,72,No,8,2,68.0,85.19999999999999
2,55,Yes,4,1,32.0,41.5
9,68,No,5,3,64.0,81.3
5,62,No,7,4,45.0,56.199999999999996
2,63,Yes,6,0,39.0,47.8
4,73,Yes,7,0,58.0,63.8
7,46,No,9,5,36.0,55.099999999999994
8,77,Yes,6,4,71.0,80.19999999999999
3,76,Yes,4,3,54.0,56.1
1,43,Yes,7,0,17.0,30.8
4,73,No,4,6,54.0,54.8
2,81,Yes,4,3,58.0,54.1
8,61,No,7,2,53.0,73.6
4,44,Yes,7,6,27.0,37.4
2,89,Yes,6,1,65.0,61.9
6,81,No,9,9,75.0,65.1
6,62,Yes,9,0,52.0,67.19999999999999
4,93,No,8,3,78.0,71.3
6,99,No,4,7,91.0,78.9
2,54,Yes,9,5,33.0,34.9
2,70,Yes,5,8,47.0,40.0
4,98,No,6,0,78.0,78.8
8,48,No,6,0,38.0,68.8
7,82,Yes,8,4,70.0,78.19999999999999
9,97,Yes,8,5,98.0,95.69999999999999
8,92,Yes,4,7,87.0,84.69999999999999
5,64,Yes,6,2,49.0,60.4
2,64,Yes,6,5,41.0,40.9
5,88,No,5,2,71.0,74.8
8,60,No,4,7,54.0,65.5
9,48,No,4,3,42.0,69.3
9,94,No,9,1,91.0,99.9
1,87,Yes,8,8,61.0,45.199999999999996
9,77,No,9,9,74.0,77.69999999999999
7,61,Yes,4,7,54.0,61.099999999999994
9,82,Yes,5,5,81.0,86.69999999999999
8,62,Yes,4,2,52.0,74.19999999999999
1,88,Yes,9,1,65.0,56.3
8,43,Yes,7,3,36.0,61.3
8,68,No,7,3,61.0,76.3
3,54,Yes,5,0,35.0,47.4
1,40,Yes,8,8,15.0,17.0
8,93,Yes,6,9,88.0,82.3
3,69,No,4,7,45.0,45.9
3,68,Yes,9,6,49.0,46.8
1,59,Yes,8,5,33.0,32.9
5,72,Yes,9,2,60.0,65.19999999999999
7,80,No,8,3,71.0,78.5
9,83,Yes,4,1,81.0,93.3
7,75,No,6,6,67.0,71.0
9,99,No,4,1,95.0,102.9
8,61,Yes,6,9,58.0,63.099999999999994
2,52,No,9,0,29.0,41.2
1,46,No,5,5,21.0,25.099999999999994
7,47,Yes,6,3,38.0,58.7
7,67,Yes,8,7,60.0,64.69999999999999
8,84,Yes,5,0,76.0,90.4
5,82,Yes,9,8,69.0,62.19999999999999
3,48,No,7,5,30.0,36.3
8,64,No,5,1,57.0,76.9
6,95,Yes,6,7,81.0,76.5
3,55,Yes,5,4,36.0,42.0
1,49,Yes,9,4,25.0,28.4
3,50,No,5,4,27.0,39.0
5,70,Yes,9,6,61.0,58.0
3,51,No,7,6,34.0,36.599999999999994
1,99,No,6,9,76.0,50.900000000000006
5,70,No,8,6,57.0,58.0
7,53,No,5,9,45.0,53.3
7,90,Yes,4,1,76.0,87.5
9,83,Yes,8,7,83.0,84.3
3,71,Yes,5,0,50.0,57.6
7,89,No,8,1,81.0,86.9
1,92,No,4,6,66.0,51.199999999999996
4,56,Yes,8,3,38.0,49.1
4,74,No,8,9,56.0,50.900000000000006
5,40,No,4,9,25.0,35.5
7,68,No,4,8,56.0,63.8
7,90,Yes,4,8,82.0,77.0
4,43,Yes,7,2,23.0,42.8
7,62,Yes,9,2,56.0,69.19999999999999
3,67,No,9,8,46.0,43.199999999999996
6,55,Yes,4,9,43.0,49.5
2,51,Yes,9,7,30.0,30.099999999999994
9,92,Yes,8,0,92.0,100.19999999999999
5,60,No,4,5,45.0,53.5
6,84,No,5,6,70.0,71.4
4,56,No,4,7,36.0,43.1
7,79,No,4,1,71.0,80.9
9,52,No,9,0,49.0,76.2
7,91,Yes,6,3,82.0,85.1
1,97,Yes,8,0,71.0,63.199999999999996
1,71,No,9,1,43.0,46.1
9,76,No,8,2,77.0,87.6
9,89,Yes,5,3,86.0,93.9
4,54,No,7,5,34.0,44.9
9,51,No,6,7,49.0,65.1
3,88,No,5,8,69.0,55.8
7,96,No,5,3,84.0,88.1
6,54,No,8,0,41.0,62.4
8,73,Yes,6,4,68.0,77.8
9,45,Yes,8,4,44.0,66.0
5,56,No,7,8,41.0,46.6
1,87,No,8,5,58.0,49.699999999999996
3,88,Yes,4,4,68.0,61.8
8,96,No,8,9,94.0,84.1
